Replica,Seed,TotalRequests,TotalSuitcases,Delivered,Undelivered,LateSuitcases,TotalDelay,CapacityOverflow,WarehouseOverflow,Fitness,Semaphore,IterationsRun,Improvements,ExecutionTime
1,1,12368,23166,21796,0,1370,389.23,0,0,1408922.71,AMBER,1000,1000,42383
2,2,12368,23166,21796,0,1370,389.23,0,0,1408922.71,AMBER,1000,1000,40986
3,3,12368,23166,21795,0,1371,389.23,0,0,1409922.71,AMBER,1000,1000,40636
4,4,12368,23166,21795,0,1371,389.23,0,0,1409922.71,AMBER,1000,1000,43536
5,5,12368,23166,21796,0,1370,389.23,0,0,1408922.71,AMBER,1000,1000,43623
6,6,12368,23166,21796,0,1370,389.23,0,0,1408922.71,AMBER,1000,1000,43076
7,7,12368,23166,21796,0,1370,389.23,0,0,1408922.71,AMBER,1000,1000,43882
8,8,12368,23166,21796,0,1370,389.23,0,0,1408922.71,AMBER,1000,1000,44468
9,9,12368,23166,21796,0,1370,389.23,0,0,1408922.71,AMBER,1000,1000,43370
10,10,12368,23166,21796,0,1370,389.23,0,0,1408922.71,AMBER,1000,1000,42825
11,11,12368,23166,21795,0,1371,389.23,0,0,1409922.71,AMBER,1000,1000,42117
12,12,12368,23166,21795,0,1371,389.23,0,0,1409922.71,AMBER,1000,1000,42737
13,13,12368,23166,21796,0,1370,389.23,0,0,1408922.71,AMBER,1000,1000,42510
14,14,12368,23166,21796,0,1370,389.23,0,0,1408922.71,AMBER,1000,1000,44514
15,15,12368,23166,21796,0,1370,389.23,0,0,1408922.71,AMBER,1000,1000,43133
16,16,12368,23166,21796,0,1370,389.23,0,0,1408922.71,AMBER,1000,1000,43933
17,17,12368,23166,21796,0,1370,389.23,0,0,1408922.71,AMBER,1000,1000,43889
18,18,12368,23166,21796,0,1370,389.23,0,0,1408922.71,AMBER,1000,1000,43875
